Sr.no,Year,Mo,Dy,Earthquake Magnitude,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Total Deaths,Total Damage ($Mil)
87,1906,8.0,17,8.2,CHILE,CENTRAL CHILE,-33.0,-72.0,3.5,4000.0,100.0
96,1907,1.0,14,6.2,JAMAICA,JAMAICA,18.667,-76.237,2.5,1000.0,30.0
117,1908,12.0,28,7.0,ITALY,"MESSINA STRAIT, IONIAN SEA",38.17,15.58,13.0,80000.0,116.0
160,1914,1.0,12,7.1,JAPAN,SEIKAIDO,31.58,130.67,3.0,63.0,19.0
210,1918,10.0,11,7.1,USA TERRITORY,PUERTO RICO: MONA PASSAGE,18.7,-67.189,6.1,144.0,4.0
258,1923,2.0,3,8.4,RUSSIA,KAMCHATKA,54.486,160.472,8.0,3.0,1.5
270,1923,9.0,1,7.9,JAPAN,SAGAMI BAY,35.1,139.5,13.0,142807.0,600.0
315,1927,1.0,1,5.7,USA,S. CALIFORNIA,32.5,-115.5,,1.0,3.0
366,1929,11.0,18,7.2,CANADA,"GRAND BANKS, NEWFOUNDLAND",44.426,-56.03,13.0,28.0,1.0
384,1931,2.0,2,7.7,NEW ZEALAND,N. NEW ZEALAND,-39.772,176.025,15.0,261.0,25.0
411,1933,3.0,11,6.3,USA,S. CALIFORNIA,33.616,-117.966,0.1,120.0,41.0
430,1935,5.0,30,7.5,PAKISTAN,QUETTA,29.5,66.8,,60000.0,25.0
480,1939,1.0,25,8.3,CHILE,CENTRAL CHILE,-36.25,-72.25,,30000.0,920.0
493,1939,12.0,26,7.8,TURKEY,SOUTH BLACK SEA,39.907,39.586,0.53,32700.0,20.0
523,1945,11.0,27,8.0,PAKISTAN,MAKRAN COAST,24.5,63.0,17.0,300.0,25.0
524,1946,4.0,1,8.6,USA,"UNIMAK ISLAND, AK",53.492,-162.832,42.0,168.0,26.271
538,1948,1.0,24,7.8,PHILIPPINES,SULU SEA,10.714,122.235,,74.0,3.5
549,1949,4.0,13,7.0,USA,"PUGET SOUND, WA",47.167,-122.617,,8.0,25.0
566,1950,8.0,15,8.6,INDIA,INDIA-CHINA,28.5,96.5,0.5,1530.0,20.0
596,1952,11.0,4,9.0,RUSSIA,KAMCHATKA,52.755,160.057,23.0,10000.0,1.0
605,1953,5.0,6,7.6,CHILE,CENTRAL CHILE,-36.5,-72.5,,9.0,500.0
609,1953,8.0,12,7.2,GREECE,IONIAN SEA,38.3,20.8,,476.0,100.0
620,1954,9.0,9,6.7,ALGERIA,SEA OF ALBORAN,36.274,1.594,0.33,1243.0,6.0
641,1957,7.0,28,7.9,MEXICO,S. MEXICO,16.5,-99.1,1.3,65.0,25.0
664,1959,8.0,18,7.5,USA,"HEGBEN LAKE, MONTANA",44.712,-111.215,1.0,28.0,11.0
