Sr.no,Year,Mo,Dy,Earthquake Magnitude,Country,Location Name,Latitude,Longitude,Maximum Water Height (m)
1288,2014,3.0,16.0,6.7,CHILE,NORTHERN CHILE,-19.981,-70.702,0.26
1289,2014,4.0,1.0,8.2,CHILE,NORTHERN CHILE,-19.61,-70.769,4.63
1290,2014,4.0,3.0,7.7,CHILE,NORTHERN CHILE,-20.571,-70.493,0.74
1291,2014,4.0,12.0,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,0.05
1292,2014,4.0,13.0,7.4,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,0.16
1293,2014,4.0,18.0,7.2,MEXICO,S. MEXICO,17.397,-100.972,0.43
1294,2014,4.0,19.0,7.5,PAPUA NEW GUINEA,SOLOMON SEA,-6.755,155.024,0.11
1296,2014,6.0,23.0,6.9,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.977,-177.725,0.13
1297,2014,6.0,23.0,7.9,USA,"ALEUTIAN ISLANDS, AK",51.849,178.735,0.17
1301,2014,7.0,11.0,6.5,JAPAN,SANRIKU,37.005,142.453,0.2
1303,2014,7.0,25.0,6.0,USA,"PALMA BAY, AK",58.335,-136.971,0.08
1304,2014,10.0,9.0,7.0,CHILE,EASTER ISLAND REGION,-32.108,-110.811,0.47
1306,2014,11.0,15.0,7.1,INDONESIA,N. MOLUCCAS ISLANDS,1.893,126.522,0.09
1307,2015,2.0,16.0,6.7,JAPAN,HONSHU,39.856,142.881,0.27
1309,2015,3.0,29.0,7.5,PAPUA NEW GUINEA,BISMARCK SEA,-4.729,152.562,0.5
1310,2015,5.0,2.0,5.7,JAPAN,S. OF HONSHU ISLAND,31.529,140.213,0.6
1311,2015,5.0,5.0,7.5,PAPUA NEW GUINEA,NEW BRITAIN,-5.462,151.875,1.0
1315,2015,7.0,10.0,6.7,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,0.01
1316,2015,7.0,18.0,7.0,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.401,165.141,0.09
1317,2015,7.0,27.0,6.9,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.376,-169.446,0.08
1318,2015,9.0,16.0,8.3,CHILE,CENTRAL CHILE,-31.573,-71.674,13.6
1319,2015,10.0,18.0,,USA,"ICY BAY, AK",60.08,-141.3,193.0
1320,2015,11.0,11.0,6.9,CHILE,CENTRAL CHILE,-29.507,-72.007,0.55
1321,2015,11.0,13.0,6.7,JAPAN,JAPAN,31.001,128.873,0.3
1323,2015,11.0,18.0,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.899,158.422,0.1
1325,2016,3.0,2.0,7.8,INDONESIA,SW. SUMATRA,-4.952,94.33,0.21
1326,2016,4.0,16.0,7.8,ECUADOR,OFF COAST,0.35,-80.16,0.6
1330,2016,8.0,20.0,6.0,JAPAN,SANRIKU,40.394,143.68,0.01
1331,2016,9.0,1.0,7.0,NEW ZEALAND,GISBORNE,-37.359,179.146,0.21
1332,2016,11.0,13.0,7.8,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-42.737,173.054,6.9
1333,2016,11.0,21.0,6.9,JAPAN,E. COAST HONSHU ISLAND,37.393,141.387,1.44
1335,2016,12.0,8.0,7.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.681,161.327,0.43
1336,2016,12.0,9.0,6.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.749,161.132,0.05
1337,2016,12.0,17.0,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-4.505,153.522,0.08
1338,2016,12.0,25.0,7.6,CHILE,SOUTHERN CHILE,-43.517,-74.391,0.44
